id,name,rank,status,parent_tsn
642446,Amarsipus,Genus,valid,553232
644679,Rosenblattichthys,Genus,valid,162548
635725,Rhynchoconger nitens,Species,valid,635342
161721,Clupea,Genus,valid,551153
556451,Eucleoteuthis luminosa,Species,valid,555795
162501,Stemonosudis,Genus,valid,162463
622313,Phosichthyidae,Family,valid,553152
168683,Selene peruviana,Species,valid,168679
553160,Holocentroidei,Suborder,valid,166083
623190,Lepophidium negropinna,Species,valid,164823
162192,Vinciguerria,Genus,valid,622313
166154,Beryx,Genus,valid,166153
173383,Chilomycterus,Genus,valid,173382
644793,Lestrolepis japonica,Species,valid,162515
162029,Hypomesus,Genus,valid,162028
164613,Melanocetus johnsoni,Species,invalid,0
82436,Onychoteuthidae,Family,valid,82390
162365,Bathylaconidae,Family,valid,623274
613171,Stegastes,Genus,valid,170044
173235,Ostraciidae,Family,valid,1054459
166730,Sebastes mystinus,Species,valid,166705
161644,Saccopharyngidae,Family,valid,161643
168578,Phtheirichthys lineatus,Species,valid,168577
82390,Oegopsina,Suborder,valid,82367
166768,Sebastes ensifer,Species,valid,166705
165515,Hirundichthys,Genus,valid,165431
169282,Micropogonias,Genus,valid,169237
616693,Hirundichthys rondeletii,Species,valid,165515
162820,Giganturidae,Family,valid,162819
167108,Hexagrammidae,Family,valid,167107
168744,Nematistius pectoralis,Species,valid,168743
168742,Naucrates ductor,Species,valid,168741
171691,Callionymidae,Family,valid,171690
171565,Chirolophis,Genus,valid,171554
162561,Scopelarchus guentheri,Species,valid,162553
645319,Latilinae,Subfamily,valid,168537
638559,Labrisomus multiporosus,Species,valid,171408
623275,Osmeroidea,Superfamily,valid,553145
167290,Icelinus,Genus,valid,167196
169280,Menticirrhus undulatus,Species,valid,169273
169554,Chaetodontidae,Family,valid,167641
161301,Nettastomatidae,Family,valid,553143
170952,Rathbunella,Genus,valid,170945
644741,Aulopus bajacali,Species,valid,162370
162675,Diogenichthys,Genus,valid,623694
172714,Bothidae,Family,valid,172707
166705,Sebastes,Genus,valid,166704
161621,Nemichthys,Genus,valid,161612
95535,Nematobrachion,Genus,valid,95500
172927,Psettichthys,Genus,valid,615944
205715,Heteroteuthis,Genus,valid,555737
171087,Kali,Genus,valid,171084
168312,Pseudamiops,Genus,valid,642032
162281,Chauliodus sloani,Species,valid,162278
553140,Stephanoberyciformes,Order,valid,166082
622314,Maurolicinae,Subfamily,valid,162212
168671,Chloroscombrus orqueta,Species,valid,168669
645247,Cypselurus callopterus,Species,valid,165432
162030,Hypomesus pretiosus,Species,valid,162029
166728,Sebastes melanostomus,Species,valid,166705
162679,Benthosema,Genus,valid,623694
644790,Lestidiops indopacifica,Species,valid,162476
162837,Chanos,Genus,valid,162836
553143,Congroidei,Suborder,valid,161123
622096,Diretmichthys,Genus,valid,166131
162205,Yarella blackfordi,Species,invalid,0
168669,Chloroscombrus,Genus,valid,1228110
170945,Bathymasteridae,Family,valid,165214
82680,Argonautidae,Family,valid,555712
167298,Icelinus quadriseriatus,Species,valid,167290
553170,Bythitoidei,Suborder,valid,553139
172486,Istiophoridae,Family,valid,768116
164569,Chaunacidae,Family,valid,622711
630609,Odontesthes,Genus,valid,630582
171397,Gibbonsia,Genus,valid,171396
622691,Diplophos proximus,Species,valid,162179
171471,Cryptotrema,Genus,valid,553227
553134,Albuliformes,Order,valid,161106
161612,Nemichthyidae,Family,valid,553143
615947,Pleuronectini,Tribe,valid,615941
171617,Cebidichthys,Genus,valid,171554
768116,Xiphioidei,Suborder,valid,167640
